Date,C1,C2,C3,C4,C5,SB
4/22/2017,3,9,10,21,40,10
4/26/2017,9,12,16,28,38,1
4/29/2017,8,21,22,37,38,4
5/3/2017,5,12,15,20,42,14
5/6/2017,3,5,8,20,24,14
5/10/2017,3,4,29,40,43,4
5/13/2017,14,22,24,25,32,7
5/17/2017,1,20,25,27,34,3
5/20/2017,4,13,20,31,33,8
5/24/2017,11,28,31,33,41,7
5/27/2017,17,28,29,37,40,14
5/31/2017,5,20,21,25,26,3
6/3/2017,8,10,19,22,30,3
6/7/2017,3,13,16,20,26,1
6/10/2017,22,25,26,40,43,14
6/14/2017,5,13,17,22,40,13
6/17/2017,10,19,32,38,40,14
6/21/2017,12,21,25,27,34,10
6/24/2017,1,3,7,16,32,4
6/28/2017,4,7,8,24,41,13
7/1/2017,4,17,21,35,40,1
7/5/2017,16,25,31,32,34,5
7/8/2017,13,15,16,31,37,14
7/12/2017,1,11,19,20,37,5
7/15/2017,26,29,30,35,36,6
7/19/2017,9,10,27,35,42,12
7/22/2017,4,29,30,31,42,16
7/26/2017,17,18,31,34,39,14
7/29/2017,11,14,23,30,35,12
8/2/2017,4,17,33,34,35,14
8/5/2017,2,6,8,12,29,13
8/9/2017,3,12,14,23,21,10
8/12/2017,10,12,27,34,40,10
8/16/2017,4,6,20,29,38,12
8/19/2017,2,6,14,20,27,1
8/23/2017,16,22,24,41,43,9
8/26/2017,10,12,15,41,43,6
8/30/2017,13,17,30,34,43,14
9/2/2017,19,31,32,34,41,12
9/6/2017,1,2,7,28,38,12
9/9/2017,5,20,34,35,43,5
9/13/2017,27,39,40,41,42,16
9/16/2017,2,15,16,22,28,11
9/20/2017,4,11,18,36,41,1
9/23/2017,23,24,30,34,41,1
9/27/2017,5,18,19,26,31,9
9/30/2017,17,23,24,36,38,1
10/4/2017,2,4,21,27,42,3
10/7/2017,13,16,24,35,36,12
10/11/2017,6,9,10,13,22,8
10/14/2017,2,21,31,34,42,1
10/18/2017,2,12,16,24,40,7
10/21/2017,11,12,19,32,33,3
10/25/2017,4,12,28,33,43,13
10/28/2017,5,22,24,33,43,12
11/1/2017,8,20,22,37,43,3
11/4/2017,10,19,20,21,24,10
11/8/2017,7,8,10,42,43,2
11/11/2017,9,13,14,17,34,8
11/15/2017,7,16,24,35,43,10
11/18/2017,3,6,7,28,40,7
11/22/2017,10,11,30,36,43,11
11/25/2017,1,10,14,34,42,15
11/29/2017,2,8,11,29,32,10
12/2/2017,2,14,27,37,41,3
12/6/2017,2,3,8,26,40,12
12/9/2017,4,29,36,38,39,2
12/13/2017,10,19,20,22,31,3
12/16/2017,1,4,5,23,26,12
12/20/2017,20,28,30,31,41,9
12/23/2017,2,6,10,15,24,4
12/27/2017,7,21,32,33,34,9
12/30/2017,6,18,22,29,40,15
1/3/2018,19,26,27,30,32,15
1/6/2018,3,7,10,18,40,9
1/10/2018,11,13,17,25,38,6
1/13/2018,6,9,29,32,33,3
1/17/2018,2,6,8,24,37,3
1/20/2018,10,24,36,38,42,4
1/24/2018,1,11,21,37,38,6
1/27/2018,2,6,14,15,39,4
1/31/2018,25,29,32,35,41,13
2/3/2018,12,16,22,31,32,15
2/7/2018,3,5,17,30,37,8
2/10/2018,2,19,27,37,40,4
2/14/2018,5,24,29,41,43,6
2/17/2018,16,23,28,30,40,12
2/21/2018,3,14,26,31,40,6
2/24/2018,1,12,20,25,35,4
2/28/2018,10,18,21,22,33,13
3/3/2018,2,11,19,21,23,8
3/7/2018,20,23,26,34,37,12
3/10/2018,4,7,17,18,20,9
3/14/2018,13,20,26,36,40,14
3/17/2018,6,8,12,17,31,2
3/21/2018,1,3,6,18,20,16
3/24/2018,8,17,20,21,32,7
3/28/2018,1,4,36,37,43,14
3/31/2018,10,12,17,20,32,14
4/4/2018,4,22,29,32,40,3
4/7/2018,10,14,30,37,42,1
4/11/2018,10,11,15,23,38,12
4/14/2018,19,25,29,36,43,6
4/18/2018,14,16,32,34,39,7
4/21/2018,24,31,32,34,42,12
4/25/2018,22,27,28,30,34,16
4/28/2018,1,2,5,14,30,1
5/2/2018,18,32,35,42,43,3
5/5/2018,5,10,16,35,39,8
5/9/2018,4,20,27,32,40,16
5/12/2018,11,16,18,34,36,7
5/16/2018,3,4,8,19,24,11
5/19/2018,8,21,33,34,42,15
5/23/2018,2,23,25,33,36,4
5/26/2018,4,8,17,23,38,2
5/30/2018,7,8,27,38,39,2
6/2/2018,4,8,12,19,30,1
6/6/2018,2,23,27,28,34,9
6/9/2018,13,28,31,35,43,2
6/13/2018,2,3,12,19,35,12
6/16/2018,1,11,14,15,40,7
6/20/2018,7,11,14,30,42,12
6/23/2018,4,19,30,34,43,8
6/27/2018,21,24,31,39,42,14
6/30/2018,4,32,35,36,37,16
7/4/2018,1,13,20,22,32,14
7/7/2018,4,15,30,38,42,1
7/11/2018,3,7,10,13,21,15
7/14/2018,1,5,13,22,23,12
7/18/2018,16,23,25,26,36,16
7/21/2018,5,15,21,22,39,11
7/25/2018,13,15,24,29,30,11
7/28/2018,2,8,19,23,37,1
8/1/2018,7,8,17,32,37,4
8/4/2018,3,18,23,28,43,15
8/8/2018,3,9,29,31,41,5
8/11/2018,24,33,35,36,41,5
8/15/2018,6,19,30,34,35,9
8/18/2018,7,25,31,33,41,8
8/22/2018,11,12,17,27,41,13
8/25/2018,4,16,18,22,27,13
8/29/2018,3,6,9,24,30,2
9/1/2018,5,16,25,39,41,9
9/5/2018,12,14,16,25,28,15
9/8/2018,4,8,18,20,24,12
9/12/2018,2,5,17,20,23,3
9/15/2018,6,27,28,36,40,4
9/19/2018,9,22,25,30,40,6
9/22/2018,2,8,20,22,28,6
9/26/2018,5,6,15,27,30,6
9/29/2018,9,18,25,38,39,10
10/3/2018,23,26,28,37,43,13
10/6/2018,14,20,28,36,37,12
10/10/2018,6,7,16,38,39,12
10/13/2018,7,23,33,35,36,8
10/17/2018,16,17,23,34,36,8
10/20/2018,3,17,21,28,31,16
10/24/2018,6,14,15,28,30,15
10/27/2018,8,12,15,27,35,16
10/31/2018,5,26,31,39,40,16
11/3/2018,3,10,28,29,33,5
11/7/2018,11,14,16,19,33,11
11/10/2018,8,10,30,35,40,1
11/14/2018,1,6,17,26,35,6
11/17/2018,11,13,14,23,42,14
11/21/2018,4,6,18,32,42,1
11/24/2018,9,10,15,22,24,11
11/28/2018,2,4,32,33,41,9
12/1/2018,12,19,20,33,39,12
12/5/2018,2,30,32,35,36,12
12/8/2018,1,15,24,29,33,13
12/12/2018,7,22,25,32,33,10
12/15/2018,1,8,10,12,40,16
12/19/2018,2,32,34,41,43,10
12/22/2018,1,40,41,42,43,8
12/26/2018,3,23,30,32,40,10
12/29/2018,2,6,22,28,34,9
1/2/2019,1,9,17,33,42,10
1/5/2019,10,13,21,34,43,11
1/9/2019,1,4,8,14,41,3
1/12/2019,21,31,33,35,41,9
1/16/2019,12,17,27,29,32,8
1/19/2019,8,18,19,32,42,15
1/23/2019,8,12,29,30,31,1
1/26/2019,5,20,26,34,37,7
1/30/2019,9,10,13,14,37,10
2/2/2019,20,22,23,26,28,10
2/6/2019,16,17,31,36,38,4
2/9/2019,11,13,18,21,37,1
2/13/2019,5,17,27,29,30,3
2/16/2019,6,13,14,30,34,5
2/20/2019,2,19,25,26,28,12
2/23/2019,3,5,7,13,16,13
2/27/2019,3,20,24,27,28,9
3/2/2019,10,14,29,35,37,1
3/6/2019,7,11,17,18,43,5
3/9/2019,1,8,12,14,30,7
3/13/2019,1,8,10,15,40,2
3/16/2019,1,14,31,34,42,14
3/20/2019,17,26,30,37,40,13
3/23/2019,6,24,27,32,39,2
3/27/2019,3,9,15,29,41,2
3/30/2019,2,9,18,31,42,13
4/3/2019,3,20,22,33,35,9
4/6/2019,7,13,28,34,40,15
4/10/2019,5,7,8,14,28,9
4/13/2019,4,18,22,34,41,10
4/17/2019,2,9,15,30,32,8
4/20/2019,1,12,13,19,27,4
4/24/2019,12,13,14,31,35,9
4/27/2019,2,15,30,37,38,13
5/1/2019,9,15,24,31,36,3
5/4/2019,9,11,31,35,36,10
5/8/2019,11,15,23,26,39,3
5/11/2019,13,19,28,39,42,15
5/15/2019,14,22,23,31,38,9
5/18/2019,13,26,33,35,40,13
5/22/2019,3,18,24,34,36,4
5/25/2019,4,6,20,27,35,13
5/29/2019,6,20,22,30,34,5
6/1/2019,7,17,18,24,28,4
6/5/2019,13,16,17,22,25,1
6/8/2019,3,29,30,36,37,3
6/12/2019,1,5,8,20,29,13
6/15/2019,2,3,12,29,31,3
6/19/2019,9,10,26,30,36,10
6/22/2019,2,5,12,38,40,7
6/26/2019,18,31,33,34,42,8
6/29/2019,8,26,31,38,39,11
7/3/2019,3,4,22,38,43,12
7/6/2019,15,20,25,35,43,9
7/10/2019,2,4,19,27,34,3
7/13/2019,3,20,28,37,39,4
7/17/2019,7,9,11,13,38,15
7/20/2019,5,19,20,22,34,11
7/24/2019,6,10,14,21,26,15
7/27/2019,5,16,18,25,30,1
7/31/2019,2,3,10,24,28,11
8/3/2019,4,11,24,26,27,5
8/7/2019,4,25,31,38,43,12
8/10/2019,15,29,32,40,43,16
8/14/2019,7,15,22,23,42,2
8/17/2019,7,15,27,32,40,5
8/21/2019,8,14,28,36,43,13
8/24/2019,17,24,25,40,42,4
8/28/2019,3,15,26,31,34,3
8/31/2019,8,15,21,27,32,3
9/4/2019,2,7,16,26,41,2
9/7/2019,4,7,11,39,43,6
9/11/2019,10,18,23,29,41,7
9/14/2019,1,2,5,21,35,12
9/18/2019,14,20,23,33,38,10
9/21/2019,2,25,26,28,35,1
9/25/2019,9,10,14,41,42,11
9/28/2019,1,7,19,22,34,3
10/2/2019,4,8,14,29,41,10
10/5/2019,3,4,7,13,24,14
10/9/2019,2,7,26,32,33,12
10/12/2019,7,9,10,22,39,8
10/16/2019,3,20,24,37,38,11
10/19/2019,4,9,10,17,25,6
10/23/2019,1,12,23,29,38,9
10/26/2019,1,19,31,36,41,15
10/30/2019,7,18,21,23,28,13
11/2/2019,11,19,20,27,28,4
11/6/2019,11,18,30,40,42,10
11/9/2019,4,8,10,26,32,3
11/13/2019,8,14,20,23,28,7
11/16/2019,6,21,23,31,32,15
11/20/2019,1,10,15,20,28,15
11/23/2019,2,5,13,27,41,7
11/27/2019,8,18,22,23,28,11
11/30/2019,8,22,24,25,40,12
12/4/2019,2,4,18,28,33,11
12/7/2019,2,10,36,37,40,15
12/11/2019,8,15,26,32,37,3
12/14/2019,1,8,9,22,23,7
12/18/2019,6,7,15,38,40,16
12/21/2019,13,21,22,24,32,16
12/25/2019,9,19,20,35,39,12
12/28/2019,1,9,20,33,41,9
1/1/2020,8,18,19,22,38,11
1/4/2020,4,8,16,31,37,7
1/8/2020,4,15,17,19,25,1
1/11/2020,10,20,23,28,39,8
1/15/2020,4,13,18,29,37,13
1/18/2020,8,17,18,37,42,11
1/22/2020,4,26,32,36,42,4
1/25/2020,9,16,26,29,31,16
1/29/2020,6,19,31,33,39,5
2/1/2020,2,10,13,16,26,11
2/5/2020,4,8,22,25,28,14
2/8/2020,3,6,7,21,34,5
2/12/2020,6,11,28,34,39,11
2/15/2020,3,27,35,39,42,15
2/19/2020,1,5,15,18,39,7
2/22/2020,5,11,22,27,35,15
2/26/2020,1,11,23,30,32,14
2/29/2020,2,7,15,16,22,4
3/4/2020,5,12,14,15,40,5
3/7/2020,2,10,11,17,22,12
3/11/2020,23,25,26,27,41,9
3/14/2020,3,17,22,35,36,12
3/18/2020,2,14,26,29,40,8
3/21/2020,9,22,25,31,40,15
4/29/2020,5,6,16,18,22,7
5/2/2020,11,19,24,34,39,2
5/6/2020,6,17,30,38,39,3
5/9/2020,13,28,32,41,43,1
5/13/2020,7,32,37,38,41,7
5/16/2020,4,10,18,30,37,6
5/20/2020,2,3,8,17,19,11
5/23/2020,1,5,15,30,40,13
5/27/2020,21,26,30,31,37,3
5/30/2020,7,20,26,32,38,14
6/3/2020,23,25,26,29,41,1
6/6/2020,7,16,26,30,32,7
6/10/2020,1,3,36,39,40,6
6/13/2020,2,9,10,29,31,13
6/17/2020,7,14,19,37,40,13
6/20/2020,14,25,28,34,36,5
6/24/2020,3,12,29,33,37,5
6/27/2020,4,9,25,31,36,15
7/1/2020,7,8,13,27,41,15
7/4/2020,23,24,25,26,38,10
7/8/2020,1,23,24,26,42,9
7/11/2020,1,2,5,30,43,7
7/15/2020,3,19,30,36,39,1
7/18/2020,12,15,29,39,41,4
7/22/2020,15,21,23,36,37,6
7/25/2020,3,11,15,23,26,9
7/29/2020,2,4,6,16,34,12
8/1/2020,5,15,27,28,41,2
8/5/2020,5,27,34,36,39,10
8/8/2020,7,15,26,41,43,9
8/12/2020,8,25,31,33,39,10
8/15/2020,5,15,27,36,38,15
8/19/2020,1,4,10,14,25,14
8/22/2020,1,11,24,32,39,4
8/26/2020,3,19,23,30,40,13
8/29/2020,16,19,20,22,25,6
9/2/2020,4,11,22,34,38,4
9/5/2020,4,8,24,26,32,15
9/9/2020,1,9,18,23,38,6
9/12/2020,8,15,21,27,35,10
9/16/2020,7,15,18,29,32,14
9/19/2020,10,15,21,33,39,7
9/23/2020,8,36,37,38,42,14
9/26/2020,4,13,22,36,37,10
9/30/2020,5,18,29,33,34,6
10/3/2020,8,9,11,36,42,13
10/7/2020,10,13,18,19,37,6
10/10/2020,7,25,29,32,41,7
10/14/2020,5,12,32,34,43,10
10/17/2020,1,5,16,26,29,8
10/21/2020,4,11,12,21,36,8
10/24/2020,6,10,18,27,35,10
10/28/2020,2,5,7,12,22,8
10/31/2020,9,17,21,34,40,4
11/4/2020,4,12,13,24,32,6
11/7/2020,3,8,9,23,35,8
11/11/2020,23,24,25,29,40,1
11/14/2020,2,3,4,11,33,4
11/18/2020,10,25,26,27,29,7
11/21/2020,5,16,18,28,41,2
11/25/2020,9,15,19,30,34,1
11/28/2020,14,22,25,32,40,2
12/2/2020,10,18,20,22,24,6
12/5/2020,4,19,32,35,41,16
12/9/2020,3,16,21,28,39,13
12/12/2020,6,11,20,22,33,4
12/16/2020,5,18,19,25,36,10
12/19/2020,5,10,13,16,18,3
12/23/2020,4,5,15,36,42,16
12/26/2020,18,23,26,35,36,10
12/30/2020,1,17,27,29,38,16
1/2/2021,6,11,13,40,43,5
1/6/2021,3,6,9,31,32,11
1/9/2021,7,10,17,37,43,7
1/13/2021,1,9,11,23,41,1
1/16/2021,2,11,13,22,38,4
1/20/2021,1,3,9,22,25,8
1/23/2021,3,5,11,37,40,5
1/27/2021,3,8,12,15,38,5
1/30/2021,5,6,8,21,23,9
2/3/2021,7,15,34,40,42,14
2/6/2021,5,17,23,28,35,16
2/10/2021,7,18,19,33,35,12
2/13/2021,3,11,18,36,37,4
2/17/2021,1,6,12,40,42,2
2/20/2021,2,14,28,34,39,15
2/24/2021,5,10,12,24,41,5
2/27/2021,7,17,19,27,36,12
3/3/2021,2,3,14,38,42,13
3/6/2021,8,10,18,31,42,1
3/10/2021,13,22,26,36,38,12
3/13/2021,14,15,38,42,43,13
3/17/2021,2,22,30,35,39,15
3/20/2021,5,22,28,29,38,8
3/24/2021,5,19,30,35,37,3
3/27/2021,8,11,25,31,32,3
3/31/2021,4,10,28,37,43,10
4/3/2021,7,13,27,29,41,15
4/7/2021,1,2,8,34,36,1
4/10/2021,5,10,20,22,41,2
4/14/2021,14,16,18,24,31,11
4/17/2021,19,27,33,35,40,9
4/21/2021,6,9,16,22,27,8
4/24/2021,5,9,10,18,27,5
4/28/2021,9,23,31,39,42,10
5/1/2021,1,16,34,41,43,2
5/5/2021,3,15,17,29,32,16
5/8/2021,5,10,24,29,41,11
5/12/2021,4,6,8,9,16,5
5/15/2021,17,26,31,35,38,10
5/19/2021,13,20,29,39,40,16
5/22/2021,2,9,13,35,39,12
5/26/2021,5,16,31,32,33,14
5/29/2021,1,8,18,29,40,2
6/2/2021,3,5,22,26,35,3
6/5/2021,1,9,10,13,27,8
6/9/2021,6,7,26,27,41,15
6/12/2021,18,19,25,26,43,9
6/16/2021,2,6,28,34,38,11
6/19/2021,5,8,14,26,33,3
6/23/2021,15,16,17,39,41,9
6/26/2021,4,14,31,32,43,16
6/30/2021,23,28,35,37,38,15
7/3/2021,1,9,13,22,29,14
7/7/2021,5,17,21,26,31,7
7/10/2021,3,5,25,27,36,14
7/14/2021,20,24,27,29,36,1
7/17/2021,15,16,24,26,40,9
7/21/2021,3,7,23,35,36,10
7/24/2021,3,13,16,36,40,5
7/28/2021,8,19,28,36,40,14
7/31/2021,2,9,17,24,25,8
8/4/2021,1,8,19,29,40,7
8/7/2021,1,6,21,34,40,7
8/11/2021,3,11,22,27,39,2
8/14/2021,15,21,31,32,33,6
8/18/2021,6,9,19,37,39,15
8/21/2021,8,13,22,24,30,10
8/25/2021,3,7,9,17,39,8
8/28/2021,3,20,27,40,43,1
9/1/2021,7,12,20,23,32,1
9/4/2021,8,15,30,36,41,14
9/8/2021,11,19,28,32,36,6
9/11/2021,7,12,27,35,41,8
9/15/2021,4,22,28,35,37,16
9/18/2021,12,24,34,37,40,8
9/22/2021,8,23,27,33,42,9
9/25/2021,6,7,23,36,43,10
9/29/2021,4,9,13,18,25,9
10/2/2021,19,30,38,39,41,1
10/6/2021,10,20,25,30,36,16
10/9/2021,4,8,12,27,41,6
10/13/2021,2,10,15,22,25,6
10/16/2021,6,10,25,26,27,6
10/20/2021,13,14,18,21,39,13
10/23/2021,1,2,18,19,23,7
10/27/2021,6,9,16,17,26,6
10/30/2021,12,19,31,42,43,2
11/3/2021,4,12,35,39,43,14
11/6/2021,3,19,26,32,43,11
11/10/2021,5,7,23,34,43,11
11/13/2021,11,12,28,29,32,13
11/17/2021,1,11,22,32,33,12
11/20/2021,1,4,12,13,33,13
11/24/2021,4,7,19,33,39,8
11/27/2021,6,20,24,30,40,16
12/1/2021,9,11,15,20,35,2
12/4/2021,25,27,31,42,43,14
12/8/2021,9,25,33,35,40,7
12/11/2021,9,16,19,29,39,1
12/15/2021,7,25,34,42,43,2
12/18/2021,3,16,22,26,40,12
12/22/2021,5,20,35,38,43,2
12/25/2021,14,15,26,28,40,14
12/29/2021,16,17,24,26,28,4
1/1/2022,2,8,21,38,43,7
1/5/2022,20,21,38,40,43,5
1/8/2022,9,16,18,21,27,5
1/12/2022,2,12,17,30,32,1
1/15/2022,1,5,9,21,24,10
1/19/2022,22,24,34,38,43,6
1/22/2022,12,14,35,38,40,1
1/26/2022,22,24,31,33,34,13
1/29/2022,18,24,29,40,41,5
2/2/2022,3,14,15,19,31,7
2/5/2022,2,11,12,24,43,12
2/9/2022,2,3,8,15,33,6
2/12/2022,1,12,13,33,36,3
2/16/2022,5,8,9,21,42,8
2/19/2022,7,17,33,35,41,9
2/23/2022,40,23,20,32,17,2
2/26/2022,33,32,29,43,39,1
3/2/2022,19,3,9,4,26,15
3/5/2022,5,22,12,21,18,2
3/9/2022,7,21,35,32,9,7
3/12/2022,34,3,2,24,7,3
3/16/2022,34,13,2,38,16,16
3/19/2022,32,28,33,23,38,4
3/23/2022,16,34,28,30,18,1
3/26/2022,24,5,39,34,9,13
3/30/2022,22,30,40,33,29,3
4/2/2022,37,28,13,33,43,14
4/6/2022,28,35,4,14,32,15
4/9/2022,27,1,15,30,43,3
4/13/2022,31,13,10,28,7,2
4/16/2022,27,39,13,14,28,13
4/20/2022,36,12,18,5,32,12
4/23/2022,3,23,29,38,30,3
4/27/2022,17,6,31,15,7,12
4/30/2022,12,35,19,24,34,10
5/4/2022,41,3,11,10,19,15
5/7/2022,19,22,11,2,6,16
5/11/2022,22,11,23,24,5,15
5/14/2022,28,12,14,4,38,10
5/18/2022,28,38,32,22,23,5
5/21/2022,23,31,27,26,42,4
5/25/2022,8,36,21,1,28,5
5/28/2022,42,33,29,6,40,12
6/1/2022,25,10,17,28,18,16
6/4/2022,31,3,7,26,10,8
6/8/2022,12,22,28,42,43,9
6/11/2022,31,6,37,1,16,13
6/15/2022,14,16,34,27,41,14
6/18/2022,19,7,15,43,3,1
6/22/2022,5,30,31,14,20,8
6/25/2022,25,15,2,22,10,3
6/29/2022,11,41,12,8,29,14
7/2/2022,16,2,34,9,31,5
7/6/2022,31,42,40,22,35,2
7/9/2022,30,35,27,15,4,7
7/13/2022,13,6,15,38,12,16
7/16/2022,3,4,6,18,36,15
7/20/2022,13,37,8,7,18,12
7/23/2022,33,20,39,31,30,10
7/27/2022,9,7,29,10,11,13
7/30/2022,26,22,17,16,36,15
8/3/2022,38,33,6,28,34,12
8/6/2022,39,4,8,17,40,14
8/10/2022,40,15,33,13,14,16
8/13/2022,22,8,10,25,1,4
8/17/2022,20,35,7,3,31,7
8/20/2022,43,15,14,20,12,10
8/24/2022,24,2,40,6,32,5
8/27/2022,35,27,26,43,1,11
8/31/2022,4,42,19,12,17,14
9/3/2022,33,26,4,41,9,3
9/7/2022,15,1,33,22,12,16
9/10/2022,43,12,34,18,32,4
9/14/2022,6,8,20,34,41,8
9/17/2022,9,10,18,29,32,4
9/21/2022,6,3,7,42,26,11
9/24/2022,32,16,11,37,34,5
9/28/2022,6,37,36,38,17,11
10/1/2022,22,3,5,15,42,2
10/5/2022,5,43,23,34,16,16
10/8/2022,31,10,36,41,17,14
10/12/2022,24,34,33,12,36,3
10/15/2022,36,35,3,37,14,8
10/19/2022,1,7,20,36,39,14
10/22/2022,14,2,5,30,36,12
10/26/2022,29,21,20,8,38,11
10/29/2022,20,5,9,30,11,4
11/2/2022,33,15,43,5,19,8
11/5/2022,30,8,20,1,17,9
11/9/2022,43,12,26,2,7,4
11/12/2022,26,39,6,41,21,15
11/16/2022,16,25,9,5,26,10
11/19/2022,24,43,26,25,4,3
11/23/2022,33,20,39,31,30,10
11/26/2022,7,9,10,11,29,13
11/30/2022,35,16,15,6,12,3
12/3/2022,11,5,34,12,13,3
12/10/2022,36,21,22,4,7,10
12/14/2022,14,24,42,36,18,2
12/17/2022,42,37,21,34,26,11
12/21/2022,40,33,31,41,37,16
12/24/2022,16,27,36,26,42,11
12/28/2022,24,1,9,4,23,13
12/31/2022,32,39,14,33,25,12
1/4/2023,14,32,33,1,12,8
1/7/2023,34,40,17,33,11,9
1/11/2023,17,29,22,27,21,9
1/14/2023,36,4,8,21,43,8
1/18/2023,8,35,9,33,42,13
1/21/2023,42,11,6,13,16,12
1/25/2023,17,26,38,20,33,1
1/28/2023,40,27,8,18,42,8
2/1/2023,23,38,8,12,37,16
2/4/2023,6,42,26,18,5,9
2/8/2023,28,38,23,9,21,12
2/11/2023,20,25,7,26,30,11
2/15/2023,39,19,36,1,35,8
2/18/2023,13,31,7,10,5,14
2/22/2023,10,32,35,16,26,14
2/25/2023,26,20,38,37,29,12
3/1/2023,12,39,38,1,41,16
3/4/2023,31,5,11,1,28,15
3/8/2023,36,23,40,37,30,11
