Draw Date,Win Num 1,Win Num 2,Win Num 3,Win Num 4,Win Num 5,,,Number,Count,Chi Sq Vals,Sum,df,p Val,,,,,,Mega Ball,Multiplier
9/10/2024,1,2,16,24,66,,3585 total,1,51,0,62.76470588,69,0.688240841,,,,,,6,4
9/6/2024,6,23,41,59,63,,70 numbers,2,49,0.078431373,,,,,,,,,25,2
9/3/2024,12,41,43,52,55,,,3,67,5.019607843,,,,,,,,,9,4
8/30/2024,10,17,20,24,54,,,4,53,0.078431373,,,,,,,,,8,4
8/27/2024,16,18,21,54,65,,,5,45,0.705882353,,,,,,,,,5,2
8/23/2024,28,30,44,66,69,,,6,52,0.019607843,,,,Expected,,,,,2,3
8/20/2024,5,20,26,49,51,,,7,53,0.078431373,,,,51,,,,,24,4
8/16/2024,22,38,48,51,61,,,8,61,1.960784314,,,,,,,,,5,3
8/13/2024,34,55,59,65,70,,,9,45,0.705882353,,,,,,,,,12,4
8/9/2024,12,32,38,40,57,,,10,67,5.019607843,,,,,,,,,21,2
8/6/2024,23,29,36,61,70,,,11,55,0.31372549,,,,,,,,,22,4
8/2/2024,6,7,24,44,54,,,12,47,0.31372549,,,,,,,,,13,4
7/30/2024,19,23,30,33,50,,,13,49,0.078431373,,,,,,,,,25,2
7/26/2024,2,14,33,58,65,,,14,62,2.37254902,,,,,,,,,3,3
7/23/2024,3,9,14,26,51,,,15,61,1.960784314,,,,,,,,,21,4
7/19/2024,10,17,23,50,67,,,16,52,0.019607843,,,,,,,,,3,3
7/16/2024,5,35,42,58,66,,,17,64,3.31372549,,,,,,,,,22,2
7/12/2024,15,35,48,53,68,,,18,55,0.31372549,,,,,,,,,8,3
7/9/2024,21,26,54,60,64,,,19,53,0.078431373,,,,,,,,,3,3
7/5/2024,6,15,32,54,67,,,20,58,0.960784314,,,,,,,,,4,3
7/2/2024,4,8,19,31,45,,,21,44,0.960784314,,,,,,,,,11,4
6/28/2024,28,31,33,42,66,,,22,55,0.31372549,,,,,,,,,24,3
6/25/2024,3,16,27,47,62,,,23,45,0.705882353,,,,,,,,,8,4
6/21/2024,3,18,27,40,44,,,24,53,0.078431373,,,,,,,,,19,4
6/18/2024,21,22,50,55,67,,,25,52,0.019607843,,,,,,,,,20,2
6/14/2024,1,25,26,31,65,,,26,54,0.176470588,,,,,,,,,2,3
6/11/2024,1,5,7,22,24,,,27,48,0.176470588,,,,,,,,,8,4
6/7/2024,3,5,12,22,66,,,28,51,0,,,,,,,,,7,4
6/4/2024,19,37,40,63,69,,,29,58,0.960784314,,,,,,,,,17,3
5/31/2024,4,11,23,33,49,,,30,53,0.078431373,,,,,,,,,23,4
5/28/2024,12,18,48,57,62,,,31,62,2.37254902,,,,,,,,,4,5
5/24/2024,46,54,56,67,70,,,32,49,0.078431373,,,,,,,,,16,3
5/21/2024,2,5,8,28,69,,,33,54,0.176470588,,,,,,,,,14,2
5/17/2024,8,17,40,60,70,,,34,48,0.176470588,,,,,,,,,3,2
5/14/2024,13,19,43,62,64,,,35,41,1.960784314,,,,,,,,,6,3
5/10/2024,13,22,26,32,65,,,36,43,1.254901961,,,,,,,,,18,4
5/7/2024,26,28,36,63,66,,,37,49,0.078431373,,,,,,,,,15,3
5/3/2024,6,13,15,53,56,,,38,60,1.588235294,,,,,,,,,11,2
4/30/2024,10,18,27,37,61,,,39,45,0.705882353,,,,,,,,,5,3
4/26/2024,15,23,53,57,61,,,40,53,0.078431373,,,,,,,,,9,3
4/23/2024,11,17,33,39,43,,,41,45,0.705882353,,,,,,,,,14,4
4/19/2024,19,30,34,46,58,,,42,55,0.31372549,,,,,,,,,3,3
4/16/2024,21,26,36,44,59,,,43,56,0.490196078,,,,,,,,,2,4
4/12/2024,1,12,14,18,66,,,44,57,0.705882353,,,,,,,,,16,2
4/9/2024,34,43,51,52,69,,,45,43,1.254901961,,,,,,,,,25,4
4/5/2024,20,30,54,63,65,,,46,61,1.960784314,,,,,,,,,14,3
4/2/2024,10,50,56,60,66,,,47,45,0.705882353,,,,,,,,,19,3
3/29/2024,11,30,33,38,60,,,48,51,0,,,,,,,,,16,4
3/26/2024,7,11,22,29,38,,,49,36,4.411764706,,,,,,,,,4,2
3/22/2024,3,8,31,35,44,,,50,42,1.588235294,,,,,,,,,16,3
3/19/2024,24,46,49,62,66,,,51,38,3.31372549,,,,,,,,,7,2
3/15/2024,13,25,50,51,66,,,52,47,0.31372549,,,,,,,,,6,5
3/12/2024,2,16,31,57,64,,,53,54,0.176470588,,,,,,,,,24,3
3/8/2024,19,20,22,47,58,,,54,48,0.176470588,,,,,,,,,1,3
3/5/2024,2,49,50,61,70,,,55,43,1.254901961,,,,,,,,,14,2
3/1/2024,15,33,37,55,61,,,56,44,0.960784314,,,,,,,,,24,4
2/27/2024,6,18,26,27,49,,,57,50,0.019607843,,,,,,,,,4,3
2/23/2024,4,6,40,41,60,,,58,55,0.31372549,,,,,,,,,11,5
2/20/2024,5,45,55,58,68,,,59,55,0.31372549,,,,,,,,,7,2
2/16/2024,19,23,39,42,67,,,60,44,0.960784314,,,,,,,,,18,4
2/13/2024,1,3,19,25,58,,,61,56,0.490196078,,,,,,,,,20,3
2/9/2024,17,22,29,46,69,,,62,53,0.078431373,,,,,,,,,1,3
2/6/2024,2,10,31,44,57,,,63,45,0.705882353,,,,,,,,,10,4
2/2/2024,11,22,42,64,69,,,64,60,1.588235294,,,,,,,,,18,3
1/30/2024,3,5,16,58,59,,,65,41,1.960784314,,,,,,,,,11,4
1/26/2024,14,31,34,50,61,,,66,57,0.705882353,,,,,,,,,13,3
1/23/2024,21,28,58,69,70,,,67,44,0.960784314,,,,,,,,,20,2
1/19/2024,1,9,16,17,30,,,68,46,0.490196078,,,,,,,,,17,2
1/16/2024,2,10,42,49,54,,,69,46,0.490196078,,,,,,,,,13,2
1/12/2024,19,34,35,45,67,,,70,52,0.019607843,,,,,,,,,7,3
1/9/2024,12,15,32,33,53,,,,,,,,,,,,,,24,3
1/5/2024,5,23,26,38,44,,,,,,,,,,,,,,25,3
1/2/2024,3,18,27,29,64,,,,,,,,,,,,,,1,2
12/29/2023,11,27,30,62,70,,,,,,,,,,,,,,10,3
12/26/2023,8,10,22,58,64,,,,,,,,,,,,,,21,3
12/22/2023,10,26,36,54,69,,,,,,,,,,,,,,4,4
12/19/2023,17,26,50,58,61,,,,,,,,,,,,,,11,3
12/15/2023,10,20,28,40,54,,,,,,,,,,,,,,12,2
12/12/2023,8,23,44,45,53,,,,,,,,,,,,,,3,4
12/8/2023,21,26,53,66,70,,,,,,,,,,,,,,13,3
12/5/2023,18,35,40,64,67,,,,,,,,,,,,,,18,4
12/1/2023,12,47,49,52,65,,,,,,,,,,,,,,12,4
11/28/2023,27,37,42,59,61,,,,,,,,,,,,,,11,3
11/24/2023,6,15,45,59,68,,,,,,,,,,,,,,1,4
11/21/2023,17,22,25,30,38,,,,,,,,,,,,,,24,4
11/17/2023,6,12,31,33,69,,,,,,,,,,,,,,17,3
11/14/2023,29,35,59,61,69,,,,,,,,,,,,,,22,4
11/10/2023,13,33,59,68,70,,,,,,,,,,,,,,8,3
11/7/2023,3,11,33,42,52,,,,,,,,,,,,,,20,2
11/3/2023,15,32,38,47,65,,,,,,,,,,,,,,12,4
10/31/2023,14,35,37,55,70,,,,,,,,,,,,,,15,3
10/27/2023,11,32,43,57,70,,,,,,,,,,,,,,6,4
10/24/2023,16,20,30,54,59,,,,,,,,,,,,,,7,3
10/20/2023,7,29,36,49,61,,,,,,,,,,,,,,22,4
10/17/2023,5,6,29,32,61,,,,,,,,,,,,,,20,4
10/13/2023,6,18,44,46,68,,,,,,,,,,,,,,18,3
10/10/2023,3,8,17,46,63,,,,,,,,,,,,,,7,4
10/6/2023,12,24,46,57,66,,,,,,,,,,,,,,22,3
10/3/2023,3,19,32,39,59,,,,,,,,,,,,,,24,3
9/29/2023,18,40,47,55,64,,,,,,,,,,,,,,11,4
9/26/2023,15,30,35,42,60,,,,,,,,,,,,,,16,4
9/22/2023,10,13,14,57,66,,,,,,,,,,,,,,3,2
9/19/2023,6,9,13,29,66,,,,,,,,,,,,,,24,2
9/15/2023,5,13,29,50,53,,,,,,,,,,,,,,25,3
9/12/2023,2,14,21,42,67,,,,,,,,,,,,,,18,5
9/8/2023,3,12,17,51,62,,,,,,,,,,,,,,1,3
9/5/2023,3,43,50,51,65,,,,,,,,,,,,,,13,2
9/1/2023,10,31,42,43,55,,,,,,,,,,,,,,8,2
8/29/2023,9,39,52,61,63,,,,,,,,,,,,,,25,3
8/25/2023,12,23,26,31,38,,,,,,,,,,,,,,2,2
8/22/2023,1,12,26,36,50,,,,,,,,,,,,,,7,2
8/18/2023,10,20,29,44,66,,,,,,,,,,,,,,11,3
8/15/2023,18,39,42,57,63,,,,,,,,,,,,,,7,3
8/11/2023,8,9,18,35,41,,,,,,,,,,,,,,18,3
8/8/2023,13,19,20,32,33,,,,,,,,,,,,,,14,2
8/4/2023,11,30,45,52,56,,,,,,,,,,,,,,20,2
8/1/2023,8,24,30,45,61,,,,,,,,,,,,,,12,4
7/28/2023,5,10,28,52,63,,,,,,,,,,,,,,18,5
7/25/2023,3,5,6,44,61,,,,,,,,,,,,,,25,4
7/21/2023,29,40,47,50,57,,,,,,,,,,,,,,25,2
7/18/2023,19,22,31,37,54,,,,,,,,,,,,,,18,4
7/14/2023,10,24,48,51,66,,,,,,,,,,,,,,15,2
7/11/2023,10,17,33,51,64,,,,,,,,,,,,,,5,2
7/7/2023,8,10,17,55,66,,,,,,,,,,,,,,3,3
7/4/2023,21,33,54,61,67,,,,,,,,,,,,,,12,3
6/30/2023,13,22,47,51,55,,,,,,,,,,,,,,9,3
6/27/2023,8,34,35,41,52,,,,,,,,,,,,,,12,4
6/23/2023,13,62,65,67,69,,,,,,,,,,,,,,14,5
6/20/2023,6,37,39,45,46,,,,,,,,,,,,,,21,4
6/16/2023,4,24,34,45,57,,,,,,,,,,,,,,19,3
6/13/2023,8,10,19,44,47,,,,,,,,,,,,,,4,4
6/9/2023,3,19,53,60,68,,,,,,,,,,,,,,13,3
6/6/2023,6,12,23,29,57,,,,,,,,,,,,,,4,2
6/2/2023,3,16,19,36,60,,,,,,,,,,,,,,25,2
5/30/2023,13,16,40,64,68,,,,,,,,,,,,,,21,2
5/26/2023,12,20,37,41,64,,,,,,,,,,,,,,1,3
5/23/2023,3,10,22,65,66,,,,,,,,,,,,,,19,2
5/19/2023,5,11,41,44,55,,,,,,,,,,,,,,14,2
5/16/2023,15,34,36,69,70,,,,,,,,,,,,,,17,3
5/12/2023,1,2,23,40,45,,,,,,,,,,,,,,15,3
5/9/2023,4,37,46,48,51,,,,,,,,,,,,,,19,3
5/5/2023,16,18,28,42,43,,,,,,,,,,,,,,11,3
5/2/2023,3,15,16,32,41,,,,,,,,,,,,,,9,2
4/28/2023,18,38,53,62,64,,,,,,,,,,,,,,20,3
4/25/2023,8,29,46,47,48,,,,,,,,,,,,,,12,2
4/21/2023,3,21,29,46,63,,,,,,,,,,,,,,9,3
4/18/2023,7,9,15,19,25,,,,,,,,,,,,,,4,2
4/14/2023,23,27,41,48,51,,,,,,,,,,,,,,22,2
4/11/2023,31,35,53,54,55,,,,,,,,,,,,,,24,3
4/7/2023,12,32,49,51,66,,,,,,,,,,,,,,21,2
4/4/2023,1,37,45,62,64,,,,,,,,,,,,,,4,3
3/31/2023,16,26,27,42,61,,,,,,,,,,,,,,23,4
3/28/2023,2,3,18,32,68,,,,,,,,,,,,,,24,4
3/24/2023,14,17,33,42,66,,,,,,,,,,,,,,15,3
3/21/2023,1,21,25,27,40,,,,,,,,,,,,,,11,2
3/17/2023,26,28,29,39,49,,,,,,,,,,,,,,25,3
3/14/2023,1,7,23,38,55,,,,,,,,,,,,,,2,3
3/10/2023,9,20,59,60,63,,,,,,,,,,,,,,5,2
3/7/2023,15,22,25,28,69,,,,,,,,,,,,,,21,4
3/3/2023,8,25,36,39,67,,,,,,,,,,,,,,11,4
2/28/2023,14,16,40,52,59,,,,,,,,,,,,,,13,2
2/24/2023,2,22,49,65,67,,,,,,,,,,,,,,7,4
2/21/2023,2,15,30,36,63,,,,,,,,,,,,,,24,2
2/17/2023,2,33,38,57,70,,,,,,,,,,,,,,13,3
2/14/2023,23,24,35,40,43,,,,,,,,,,,,,,1,3
2/10/2023,20,29,30,52,58,,,,,,,,,,,,,,19,3
2/7/2023,9,15,46,55,57,,,,,,,,,,,,,,4,2
2/3/2023,1,4,50,54,59,,,,,,,,,,,,,,17,2
1/31/2023,7,9,18,29,39,,,,,,,,,,,,,,13,4
1/27/2023,4,43,46,47,61,,,,,,,,,,,,,,22,4
1/24/2023,33,41,47,50,62,,,,,,,,,,,,,,20,4
1/20/2023,20,29,31,64,66,,,,,,,,,,,,,,17,4
1/17/2023,2,12,18,24,39,,,,,,,,,,,,,,18,3
1/13/2023,30,43,45,46,61,,,,,,,,,,,,,,14,2
1/10/2023,7,13,14,15,18,,,,,,,,,,,,,,9,3
1/6/2023,3,20,46,59,63,,,,,,,,,,,,,,13,3
1/3/2023,25,29,33,41,44,,,,,,,,,,,,,,18,4
12/30/2022,1,3,6,44,51,,,,,,,,,,,,,,7,3
12/27/2022,9,13,36,59,61,,,,,,,,,,,,,,11,2
12/23/2022,15,21,32,38,62,,,,,,,,,,,,,,8,4
12/20/2022,3,4,33,36,52,,,,,,,,,,,,,,17,4
12/16/2022,8,35,40,53,56,,,,,,,,,,,,,,11,3
12/13/2022,14,22,48,58,68,,,,,,,,,,,,,,6,2
12/9/2022,8,19,53,61,69,,,,,,,,,,,,,,19,4
12/6/2022,15,16,19,28,47,,,,,,,,,,,,,,13,3
12/2/2022,1,21,36,46,52,,,,,,,,,,,,,,16,3
11/29/2022,20,23,37,46,52,,,,,,,,,,,,,,6,4
11/25/2022,29,31,46,54,67,,,,,,,,,,,,,,18,2
11/22/2022,13,23,24,25,43,,,,,,,,,,,,,,2,3
11/18/2022,2,14,16,38,66,,,,,,,,,,,,,,9,4
11/15/2022,6,19,28,46,61,,,,,,,,,,,,,,18,2
11/11/2022,1,5,17,37,70,,,,,,,,,,,,,,22,3
11/8/2022,5,13,29,38,59,,,,,,,,,,,,,,23,4
11/4/2022,2,20,47,55,59,,,,,,,,,,,,,,19,2
11/1/2022,5,9,15,16,17,,,,,,,,,,,,,,25,3
10/28/2022,4,18,31,53,69,,,,,,,,,,,,,,7,2
10/25/2022,21,30,35,45,66,,,,,,,,,,,,,,21,3
10/21/2022,34,36,43,45,68,,,,,,,,,,,,,,22,2
10/18/2022,1,15,20,44,67,,,,,,,,,,,,,,23,3
10/14/2022,9,22,26,41,44,,,,,,,,,,,,,,19,2
10/11/2022,3,7,11,13,38,,,,,,,,,,,,,,1,3
10/7/2022,6,11,29,36,55,,,,,,,,,,,,,,21,2
10/4/2022,15,18,25,33,38,,,,,,,,,,,,,,25,2
9/30/2022,16,26,37,40,51,,,,,,,,,,,,,,6,4
9/27/2022,8,14,24,43,51,,,,,,,,,,,,,,9,3
9/23/2022,5,50,53,58,64,,,,,,,,,,,,,,22,4
9/20/2022,9,21,28,30,52,,,,,,,,,,,,,,10,5
9/16/2022,15,30,35,38,66,,,,,,,,,,,,,,12,4
9/13/2022,14,25,38,59,64,,,,,,,,,,,,,,21,4
9/9/2022,16,21,54,55,69,,,,,,,,,,,,,,22,2
9/6/2022,6,17,46,59,68,,,,,,,,,,,,,,2,4
9/2/2022,39,40,52,60,67,,,,,,,,,,,,,,20,2
8/30/2022,2,38,55,57,65,,,,,,,,,,,,,,17,3
8/26/2022,6,27,30,38,64,,,,,,,,,,,,,,23,2
8/23/2022,3,5,47,48,67,,,,,,,,,,,,,,7,2
8/19/2022,12,18,24,46,65,,,,,,,,,,,,,,3,4
8/16/2022,33,35,41,45,51,,,,,,,,,,,,,,1,2
8/12/2022,23,24,50,54,64,,,,,,,,,,,,,,3,3
8/9/2022,1,8,10,25,32,,,,,,,,,,,,,,13,3
8/5/2022,2,5,29,64,69,,,,,,,,,,,,,,18,3
8/2/2022,10,14,25,37,63,,,,,,,,,,,,,,14,3
7/29/2022,13,36,45,57,67,,,,,,,,,,,,,,14,2
7/26/2022,7,29,60,63,66,,,,,,,,,,,,,,15,3
7/22/2022,14,40,60,64,66,,,,,,,,,,,,,,16,3
7/19/2022,2,31,32,37,70,,,,,,,,,,,,,,25,3
7/15/2022,8,20,26,53,64,,,,,,,,,,,,,,15,5
7/12/2022,4,7,10,45,64,,,,,,,,,,,,,,12,2
7/8/2022,20,36,61,62,69,,,,,,,,,,,,,,20,3
7/5/2022,27,31,50,51,61,,,,,,,,,,,,,,21,4
7/1/2022,1,27,29,38,62,,,,,,,,,,,,,,12,3
6/28/2022,7,12,21,43,55,,,,,,,,,,,,,,11,2
6/24/2022,1,7,11,25,56,,,,,,,,,,,,,,14,2
6/21/2022,8,13,18,32,42,,,,,,,,,,,,,,20,3
6/17/2022,20,36,53,56,69,,,,,,,,,,,,,,16,2
6/14/2022,30,37,38,42,58,,,,,,,,,,,,,,22,2
6/10/2022,3,12,14,18,32,,,,,,,,,,,,,,4,5
6/7/2022,4,34,40,41,53,,,,,,,,,,,,,,3,4
6/3/2022,11,16,22,48,59,,,,,,,,,,,,,,11,4
5/31/2022,6,15,41,63,64,,,,,,,,,,,,,,24,4
5/27/2022,3,14,40,53,54,,,,,,,,,,,,,,8,3
5/24/2022,3,5,6,63,68,,,,,,,,,,,,,,25,3
5/20/2022,33,40,59,60,69,,,,,,,,,,,,,,22,3
5/17/2022,7,21,24,41,65,,,,,,,,,,,,,,24,4
5/13/2022,11,41,43,44,65,,,,,,,,,,,,,,13,3
5/10/2022,15,19,20,61,70,,,,,,,,,,,,,,6,3
5/6/2022,16,21,33,52,70,,,,,,,,,,,,,,10,2
5/3/2022,15,19,27,35,57,,,,,,,,,,,,,,17,2
4/29/2022,9,11,34,49,66,,,,,,,,,,,,,,15,2
4/26/2022,5,7,19,46,69,,,,,,,,,,,,,,2,4
4/22/2022,7,28,29,58,59,,,,,,,,,,,,,,10,3
4/19/2022,2,9,33,47,53,,,,,,,,,,,,,,24,3
4/15/2022,4,17,20,46,64,,,,,,,,,,,,,,23,4
4/12/2022,2,8,14,20,31,,,,,,,,,,,,,,17,2
4/8/2022,8,11,29,32,40,,,,,,,,,,,,,,2,3
4/5/2022,22,43,60,63,64,,,,,,,,,,,,,,18,2
4/1/2022,26,42,47,48,63,,,,,,,,,,,,,,21,5
3/29/2022,7,22,36,45,47,,,,,,,,,,,,,,12,2
3/25/2022,3,13,42,51,58,,,,,,,,,,,,,,17,2
3/22/2022,8,15,21,27,61,,,,,,,,,,,,,,8,3
3/18/2022,2,6,25,40,45,,,,,,,,,,,,,,5,4
3/15/2022,9,14,28,59,60,,,,,,,,,,,,,,24,5
3/11/2022,24,28,39,44,66,,,,,,,,,,,,,,25,3
3/8/2022,7,18,38,58,64,,,,,,,,,,,,,,24,3
3/4/2022,11,19,28,46,47,,,,,,,,,,,,,,5,4
3/1/2022,18,22,38,39,50,,,,,,,,,,,,,,18,2
2/25/2022,15,31,40,56,66,,,,,,,,,,,,,,4,3
2/22/2022,6,17,22,57,62,,,,,,,,,,,,,,3,3
2/18/2022,6,11,50,63,68,,,,,,,,,,,,,,17,4
2/15/2022,2,4,15,21,63,,,,,,,,,,,,,,19,3
2/11/2022,11,16,23,24,30,,,,,,,,,,,,,,24,3
2/8/2022,1,17,20,52,54,,,,,,,,,,,,,,2,3
2/4/2022,7,16,34,44,61,,,,,,,,,,,,,,24,4
2/1/2022,11,24,38,62,66,,,,,,,,,,,,,,1,4
1/28/2022,3,16,25,44,55,,,,,,,,,,,,,,13,3
1/25/2022,3,12,38,53,58,,,,,,,,,,,,,,13,3
1/21/2022,38,45,46,55,67,,,,,,,,,,,,,,18,2
1/18/2022,4,19,39,42,52,,,,,,,,,,,,,,9,4
1/14/2022,5,8,13,22,48,,,,,,,,,,,,,,25,2
1/11/2022,2,3,19,52,58,,,,,,,,,,,,,,16,2
1/7/2022,7,29,43,56,57,,,,,,,,,,,,,,6,3
1/4/2022,4,6,16,21,22,,,,,,,,,,,,,,1,3
12/31/2021,2,5,30,46,61,,,,,,,,,,,,,,8,3
12/28/2021,3,5,8,31,38,,,,,,,,,,,,,,4,3
12/24/2021,16,17,25,36,37,,,,,,,,,,,,,,16,2
12/21/2021,25,31,58,64,67,,,,,,,,,,,,,,24,3
12/17/2021,21,32,38,48,62,,,,,,,,,,,,,,10,3
12/14/2021,33,35,44,55,69,,,,,,,,,,,,,,20,3
12/10/2021,23,25,40,42,60,,,,,,,,,,,,,,8,2
12/7/2021,1,7,40,43,68,,,,,,,,,,,,,,1,2
12/3/2021,22,45,48,58,61,,,,,,,,,,,,,,13,5
11/30/2021,7,8,26,30,39,,,,,,,,,,,,,,17,2
11/26/2021,7,27,37,42,59,,,,,,,,,,,,,,2,2
11/23/2021,7,24,54,57,58,,,,,,,,,,,,,,6,3
11/19/2021,5,23,52,53,59,,,,,,,,,,,,,,18,5
11/16/2021,6,22,44,53,65,,,,,,,,,,,,,,3,3
11/12/2021,30,32,42,46,48,,,,,,,,,,,,,,15,2
11/9/2021,9,14,16,26,49,,,,,,,,,,,,,,14,3
11/5/2021,10,15,20,66,68,,,,,,,,,,,,,,18,2
11/2/2021,5,10,26,58,65,,,,,,,,,,,,,,9,2
10/29/2021,15,26,28,35,45,,,,,,,,,,,,,,4,3
10/26/2021,6,14,19,56,62,,,,,,,,,,,,,,9,4
10/22/2021,9,14,26,29,66,,,,,,,,,,,,,,22,3
10/19/2021,3,12,13,19,52,,,,,,,,,,,,,,1,3
10/15/2021,3,20,31,34,65,,,,,,,,,,,,,,18,3
10/12/2021,21,26,56,61,65,,,,,,,,,,,,,,4,3
10/8/2021,21,24,36,40,70,,,,,,,,,,,,,,22,5
10/5/2021,7,11,18,30,36,,,,,,,,,,,,,,4,3
10/1/2021,21,25,36,62,63,,,,,,,,,,,,,,6,2
9/28/2021,18,30,43,68,69,,,,,,,,,,,,,,22,4
9/24/2021,17,21,27,43,56,,,,,,,,,,,,,,15,3
9/21/2021,36,41,45,51,56,,,,,,,,,,,,,,13,3
9/17/2021,17,32,40,59,61,,,,,,,,,,,,,,18,3
9/14/2021,4,13,19,63,64,,,,,,,,,,,,,,16,2
9/10/2021,20,32,35,47,64,,,,,,,,,,,,,,18,2
9/7/2021,15,17,25,32,53,,,,,,,,,,,,,,12,3
9/3/2021,7,10,12,61,65,,,,,,,,,,,,,,3,2
8/31/2021,8,14,31,58,68,,,,,,,,,,,,,,15,3
8/27/2021,1,10,44,47,56,,,,,,,,,,,,,,23,3
8/24/2021,17,18,26,52,67,,,,,,,,,,,,,,19,2
8/20/2021,41,43,51,57,70,,,,,,,,,,,,,,1,2
8/17/2021,3,6,16,38,56,,,,,,,,,,,,,,24,3
8/13/2021,17,21,35,40,53,,,,,,,,,,,,,,11,2
8/10/2021,29,45,50,59,62,,,,,,,,,,,,,,12,2
8/6/2021,9,18,40,46,69,,,,,,,,,,,,,,9,2
8/3/2021,1,9,17,27,34,,,,,,,,,,,,,,24,2
7/30/2021,19,26,31,52,68,,,,,,,,,,,,,,10,3
7/27/2021,2,35,36,54,64,,,,,,,,,,,,,,11,3
7/23/2021,13,17,19,40,69,,,,,,,,,,,,,,17,3
7/20/2021,10,26,30,52,57,,,,,,,,,,,,,,10,2
7/16/2021,24,25,47,52,57,,,,,,,,,,,,,,24,4
7/13/2021,3,10,17,26,55,,,,,,,,,,,,,,24,2
7/9/2021,6,37,39,41,46,,,,,,,,,,,,,,17,2
7/6/2021,18,47,63,68,69,,,,,,,,,,,,,,14,3
7/2/2021,8,31,32,34,45,,,,,,,,,,,,,,19,2
6/29/2021,7,38,50,52,69,,,,,,,,,,,,,,21,3
6/25/2021,17,20,42,45,65,,,,,,,,,,,,,,12,4
6/22/2021,1,26,48,51,59,,,,,,,,,,,,,,25,4
6/18/2021,14,36,44,46,53,,,,,,,,,,,,,,18,2
6/15/2021,18,22,27,38,52,,,,,,,,,,,,,,11,4
6/11/2021,4,43,56,63,68,,,,,,,,,,,,,,13,4
6/8/2021,9,22,39,41,54,,,,,,,,,,,,,,19,3
6/4/2021,4,30,34,41,64,,,,,,,,,,,,,,8,3
6/1/2021,7,11,33,58,63,,,,,,,,,,,,,,23,2
5/28/2021,10,14,20,47,70,,,,,,,,,,,,,,15,2
